match_date,season,team,opponent,rating_before,rating_after,result,event
2013-09-23,2013,USA,LCA,2876.00,2877.58,W,Campeonato NORCECA 2013
2013-09-23,2013,LCA,USA,2374.00,2372.42,L,Campeonato NORCECA 2013
2013-09-23,2013,CUB,BAH,2917.00,2918.07,W,Campeonato NORCECA 2013
2013-09-23,2013,BAH,CUB,2345.00,2343.93,L,Campeonato NORCECA 2013
2013-09-23,2013,CAN,GUA,2732.00,2735.37,W,Campeonato NORCECA 2013
2013-09-23,2013,GUA,CAN,2373.00,2369.63,L,Campeonato NORCECA 2013
2013-09-24,2013,MEX,GUA,2599.00,2605.32,W,Campeonato NORCECA 2013
2013-09-24,2013,GUA,MEX,2369.63,2363.31,L,Campeonato NORCECA 2013
2013-09-24,2013,CUB,PUR,2918.07,2922.30,W,Campeonato NORCECA 2013
2013-09-24,2013,PUR,CUB,2604.00,2599.77,L,Campeonato NORCECA 2013
2013-09-24,2013,USA,DOM,2877.58,2879.86,W,Campeonato NORCECA 2013
2013-09-24,2013,DOM,USA,2444.00,2441.72,L,Campeonato NORCECA 2013
2013-09-25,2013,PUR,BAH,2599.77,2605.37,W,Campeonato NORCECA 2013
2013-09-25,2013,BAH,PUR,2343.93,2338.33,L,Campeonato NORCECA 2013
2013-09-25,2013,DOM,LCA,2441.72,2453.76,W,Campeonato NORCECA 2013
2013-09-25,2013,LCA,DOM,2372.42,2360.37,L,Campeonato NORCECA 2013
2013-09-25,2013,CAN,MEX,2735.37,2745.01,W,Campeonato NORCECA 2013
2013-09-25,2013,MEX,CAN,2605.32,2595.69,L,Campeonato NORCECA 2013
2013-09-26,2013,GUA,BAH,2363.31,2347.23,L,Campeonato NORCECA 2013
2013-09-26,2013,BAH,GUA,2338.33,2354.41,W,Campeonato NORCECA 2013
2013-09-26,2013,PUR,MEX,2605.37,2619.95,W,Campeonato NORCECA 2013
2013-09-26,2013,MEX,PUR,2595.69,2581.11,L,Campeonato NORCECA 2013
2013-09-26,2013,CUB,DOM,2922.30,2924.20,W,Campeonato NORCECA 2013
2013-09-26,2013,DOM,CUB,2453.76,2451.87,L,Campeonato NORCECA 2013
2013-09-27,2013,LCA,BAH,2360.37,2345.12,L,Campeonato NORCECA 2013
2013-09-27,2013,BAH,LCA,2354.41,2369.66,W,Campeonato NORCECA 2013
2013-09-27,2013,USA,PUR,2879.86,2885.35,W,Campeonato NORCECA 2013
2013-09-27,2013,PUR,USA,2619.95,2614.46,L,Campeonato NORCECA 2013
2013-09-27,2013,CAN,CUB,2745.01,2767.12,W,Campeonato NORCECA 2013
2013-09-27,2013,CUB,CAN,2924.20,2902.08,L,Campeonato NORCECA 2013
2013-09-28,2013,MEX,DOM,2581.11,2590.77,W,Campeonato NORCECA 2013
2013-09-28,2013,DOM,MEX,2451.87,2442.20,L,Campeonato NORCECA 2013
2013-09-28,2013,PUR,CUB,2614.46,2609.65,L,Campeonato NORCECA 2013
2013-09-28,2013,CUB,PUR,2902.08,2906.89,W,Campeonato NORCECA 2013
2013-09-28,2013,USA,CAN,2885.35,2895.44,W,Campeonato NORCECA 2013
2013-09-28,2013,CAN,USA,2767.12,2757.04,L,Campeonato NORCECA 2013
