match_date,season,team_a,team_b,sets_a,sets_b,event,is_final
2013-09-23,2013,USA,LCA,3,0,Campeonato NORCECA 2013,False
2013-09-23,2013,CUB,BAH,3,0,Campeonato NORCECA 2013,False
2013-09-23,2013,CAN,GUA,3,0,Campeonato NORCECA 2013,False
2013-09-24,2013,MEX,GUA,3,0,Campeonato NORCECA 2013,False
2013-09-24,2013,CUB,PUR,3,1,Campeonato NORCECA 2013,False
2013-09-24,2013,USA,DOM,3,0,Campeonato NORCECA 2013,False
2013-09-25,2013,PUR,BAH,3,0,Campeonato NORCECA 2013,False
2013-09-25,2013,DOM,LCA,3,0,Campeonato NORCECA 2013,False
2013-09-25,2013,CAN,MEX,3,0,Campeonato NORCECA 2013,False
2013-09-26,2013,GUA,BAH,0,3,Campeonato NORCECA 2013,False
2013-09-26,2013,PUR,MEX,3,0,Campeonato NORCECA 2013,False
2013-09-26,2013,CUB,DOM,3,2,Campeonato NORCECA 2013,False
2013-09-27,2013,LCA,BAH,0,3,Campeonato NORCECA 2013,False
2013-09-27,2013,USA,PUR,3,1,Campeonato NORCECA 2013,True
2013-09-27,2013,CAN,CUB,3,0,Campeonato NORCECA 2013,True
2013-09-28,2013,MEX,DOM,3,0,Campeonato NORCECA 2013,False
2013-09-28,2013,PUR,CUB,2,3,Campeonato NORCECA 2013,False
2013-09-28,2013,USA,CAN,3,0,Campeonato NORCECA 2013,False
