codigo,rating_atual
POL,3092.42
JPN,3054.88
RUS,3008.47
ITA,2993.32
SLO,2988.02
BRA,2983.92
USA,2959.53
FRA,2900.61
ARG,2758.17
SRB,2750.28
BUL,2735.91
CUB,2730.90
GER,2727.76
UKR,2720.10
IRI,2691.83
FIN,2676.58
TUR,2671.62
BEL,2663.32
NED,2649.07
CZE,2644.75
EGY,2636.38
MEX,2636.15
CAN,2635.63
TUN,2619.97
KOR,2606.70
PUR,2591.43
VEN,2587.35
ESP,2579.75
CHN,2575.16
CMR,2572.84
POR,2565.91
TPE,2550.94
QAT,2540.04
SVK,2534.89
CYP,2533.00
AUS,2523.49
COL,2519.78
ALG,2508.90
ROU,2502.46
BLR,2494.01
EST,2493.93
PAK,2466.05
CRO,2461.21
DOM,2459.53
CHI,2447.50
KAZ,2444.69
MAR,2441.93
GRE,2440.73
SUI,2428.96
IND,2425.48
MNE,2421.80
ISR,2420.92
CGO,2412.72
HUN,2412.28
DEN,2411.34
INA,2406.92
MKD,2404.38
LAT,2396.94
BRN,2393.97
MTQ,2392.20
PER,2387.74
SWE,2381.63
CRC,2372.42
ESA,2369.00
BAH,2368.90
TAN,2364.91
THA,2361.15
LBA,2361.01
GUA,2359.87
RWA,2353.35
GUY,2349.36
DMA,2349.00
JAM,2348.00
ENG,2347.00
TTO,2343.48
IRQ,2343.31
KEN,2343.08
CHA,2342.75
NIG,2342.25
KSA,2341.68
NCL,2337.00
WLF,2334.00
SKN,2334.00
GAM,2328.54
PNG,2327.00
BDI,2326.97
PAR,2325.76
KOS,2325.07
BAR,2324.00
SEY,2323.00
MDA,2320.00
MLI,2319.51
ECU,2317.45
ALB,2316.28
AUT,2310.11
LBN,2307.52
URU,2306.49
COD,2306.18
JOR,2305.00
LCA,2296.70
MYA,2294.44
LUX,2291.66
LAO,2290.00
ANT,2290.00
NGR,2288.38
ARU,2288.00
GHA,2285.47
SRI,2285.05
UGA,2285.00
FAI,2278.00
RSA,2277.00
HAI,2276.00
ISV,2274.00
PAN,2274.00
SCO,2274.00
GUD,2272.00
SUD,2270.00
BER,2270.00
MGL,2269.00
SEN,2268.88
MRI,2267.49
FIJ,2265.00
GAB,2261.00
MAS,2259.00
NZL,2259.00
AHO,2259.00
BAN,2255.17
ERI,2255.00
PHI,2255.00
GRL,2254.00
PYF,2252.00
VIE,2251.40
MAW,2251.00
UAE,2244.83
ZIM,2244.00
HON,2243.91
VIN,2243.40
AIA,2243.00
BIH,2242.80
ISL,2242.22
NIR,2240.00
SMR,2238.00
TGA,2236.00
IVB,2236.00
BOL,2235.46
SAM,2235.00
AND,2235.00
MNT,2233.00
REU,2226.00
OMA,2218.80
CAY,2210.00
NCA,2209.51
NOR,2207.67
AFG,2205.01
MAD,2203.00
GRN,2202.00
MAC,2197.00
ASA,2197.00
BIZ,2190.33
GEO,2188.54
KUW,2187.98
TKM,2186.08
AZE,2180.86
SUR,2180.48
COM,2175.00
IRL,2174.00
MAY,2168.00
MOZ,2165.00
MLT,2162.00
GUM,2158.00
TUV,2157.00
MDV,2144.00
BOT,2142.97
UZB,2125.00
HKG,2103.19
